days_since_birth,girl_tall_3,girl_tall_10,girl_tall_25,girl_tall_50,girl_tall_75,girl_tall_90,girl_tall_97,boy_tall_3,boy_tall_10,boy_tall_25,boy_tall_50,boy_tall_75,boy_tall_90,boy_tall_97,gw3,girl_weight_10,girl_weight_25,girl_weight_50,girl_weight_75,girl_weight_90,girl_weight_97,boy_weight_3,boy_weight_10,boy_weight_25,bw50,boy_weight_75,boy_weight_90,boy_weight_97
15,46.5,47.95,49.25,50.6,51.85,52.9,53.85,47.2,48.7,50.05,51.4,52.7,53.75,54.75,2.51923076923077,2.76038461538462,3.00576923076923,3.28115384615385,3.55230769230769,3.79923076923077,4.03038461538462,2.64730769230769,2.92423076923077,3.17384615384615,3.45769230769231,3.74307692307692,4.01,4.26692307692308
16,46.6333333333333,48.08,49.3733333333333,50.72,51.9733333333333,53.02,53.9733333333333,47.3333333333333,48.8333333333333,50.18,51.5333333333333,52.8333333333333,53.8866666666667,54.8866666666667,2.55461538461538,2.79769230769231,3.04538461538462,3.32307692307692,3.59615384615385,3.84461538461538,4.07769230769231,2.68615384615385,2.96461538461538,3.21692307692308,3.50384615384615,3.79153846153846,4.06,4.31846153846154
17,46.7666666666667,48.21,49.4966666666667,50.84,52.0966666666667,53.14,54.0966666666667,47.4666666666667,48.9666666666667,50.31,51.6666666666667,52.9666666666667,54.0233333333333,55.0233333333333,2.59,2.835,3.085,3.365,3.64,3.89,4.125,2.725,3.005,3.26,3.55,3.84,4.11,4.37
18,46.9,48.34,49.62,50.96,52.22,53.26,54.22,47.6,49.1,50.44,51.8,53.1,54.16,55.16,2.62538461538462,2.87230769230769,3.12461538461538,3.40692307692308,3.68384615384615,3.93538461538462,4.17230769230769,2.76384615384615,3.04538461538462,3.30307692307692,3.59615384615385,3.88846153846154,4.16,4.42153846153846
19,47.0333333333333,48.47,49.7433333333333,51.08,52.3433333333333,53.38,54.3433333333333,47.7333333333333,49.2333333333333,50.57,51.9333333333333,53.2333333333333,54.2966666666667,55.2966666666667,2.66076923076923,2.90961538461538,3.16423076923077,3.44884615384615,3.72769230769231,3.98076923076923,4.21961538461539,2.80269230769231,3.08576923076923,3.34615384615385,3.64230769230769,3.93692307692308,4.21,4.47307692307692
20,47.1666666666667,48.6,49.8666666666667,51.2,52.4666666666667,53.5,54.4666666666667,47.8666666666667,49.3666666666667,50.7,52.0666666666667,53.3666666666667,54.4333333333333,55.4333333333333,2.69615384615385,2.94692307692308,3.20384615384615,3.49076923076923,3.77153846153846,4.02615384615385,4.26692307692308,2.84153846153846,3.12615384615385,3.38923076923077,3.68846153846154,3.98538461538462,4.26,4.52461538461539
21,47.3,48.73,49.99,51.32,52.59,53.62,54.59,48,49.5,50.83,52.2,53.5,54.57,55.57,2.73153846153846,2.98423076923077,3.24346153846154,3.53269230769231,3.81538461538462,4.07153846153846,4.31423076923077,2.88038461538462,3.16653846153846,3.43230769230769,3.73461538461539,4.03384615384615,4.31,4.57615384615385
22,47.4333333333333,48.86,50.1133333333333,51.44,52.7133333333333,53.74,54.7133333333333,48.1333333333333,49.6333333333333,50.96,52.3333333333333,53.6333333333333,54.7066666666667,55.7066666666667,2.76692307692308,3.02153846153846,3.28307692307692,3.57461538461538,3.85923076923077,4.11692307692308,4.36153846153846,2.91923076923077,3.20692307692308,3.47538461538462,3.78076923076923,4.08230769230769,4.36,4.62769230769231
23,47.5666666666667,48.99,50.2366666666667,51.56,52.8366666666667,53.86,54.8366666666667,48.2666666666667,49.7666666666667,51.09,52.4666666666667,53.7666666666667,54.8433333333333,55.8433333333333,2.80230769230769,3.05884615384615,3.32269230769231,3.61653846153846,3.90307692307692,4.16230769230769,4.40884615384615,2.95807692307692,3.24730769230769,3.51846153846154,3.82692307692308,4.13076923076923,4.41,4.67923076923077
24,47.7,49.12,50.36,51.68,52.96,53.98,54.96,48.4,49.9,51.22,52.6,53.9,54.98,55.98,2.83769230769231,3.09615384615385,3.36230769230769,3.65846153846154,3.94692307692308,4.20769230769231,4.45615384615385,2.99692307692308,3.28769230769231,3.56153846153846,3.87307692307692,4.17923076923077,4.46,4.73076923076923
25,47.8333333333333,49.25,50.4833333333333,51.8,53.0833333333333,54.1,55.0833333333333,48.5333333333333,50.0333333333333,51.35,52.7333333333333,54.0333333333333,55.1166666666667,56.1166666666667,2.87307692307692,3.13346153846154,3.40192307692308,3.70038461538462,3.99076923076923,4.25307692307692,4.50346153846154,3.03576923076923,3.32807692307692,3.60461538461538,3.91923076923077,4.22769230769231,4.51,4.78230769230769
26,47.9666666666667,49.38,50.6066666666667,51.92,53.2066666666667,54.22,55.2066666666667,48.6666666666667,50.1666666666667,51.48,52.8666666666667,54.1666666666667,55.2533333333333,56.2533333333333,2.90846153846154,3.17076923076923,3.44153846153846,3.74230769230769,4.03461538461538,4.29846153846154,4.55076923076923,3.07461538461538,3.36846153846154,3.64769230769231,3.96538461538462,4.27615384615385,4.56,4.83384615384615
27,48.1,49.51,50.73,52.04,53.33,54.34,55.33,48.8,50.3,51.61,53,54.3,55.39,56.39,2.94384615384615,3.20807692307692,3.48115384615385,3.78423076923077,4.07846153846154,4.34384615384616,4.59807692307692,3.11346153846154,3.40884615384615,3.69076923076923,4.01153846153846,4.32461538461538,4.61,4.88538461538462
28,48.2333333333333,49.64,50.8533333333333,52.16,53.4533333333333,54.46,55.4533333333333,48.9333333333333,50.4333333333333,51.74,53.1333333333333,54.4333333333333,55.5266666666667,56.5266666666667,2.97923076923077,3.24538461538462,3.52076923076923,3.82615384615385,4.12230769230769,4.38923076923077,4.64538461538462,3.15230769230769,3.44923076923077,3.73384615384615,4.05769230769231,4.37307692307692,4.66,4.93692307692308
29,48.3666666666667,49.77,50.9766666666667,52.28,53.5766666666667,54.58,55.5766666666667,49.0666666666667,50.5666666666667,51.87,53.2666666666667,54.5666666666667,55.6633333333333,56.6633333333333,3.01461538461538,3.28269230769231,3.56038461538462,3.86807692307692,4.16615384615385,4.43461538461539,4.69269230769231,3.19115384615385,3.48961538461538,3.77692307692308,4.10384615384615,4.42153846153846,4.71,4.98846153846154
30,48.5,49.9,51.1,52.4,53.7,54.7,55.7,49.2,50.7,52,53.4,54.7,55.8,56.8,3.05,3.32,3.6,3.91,4.21,4.48,4.74,3.23,3.53,3.82,4.15,4.47,4.76,5.04
31,48.5666666666667,49.9666666666667,51.1666666666667,52.47,53.77,54.7733333333333,55.7733333333333,49.27,50.7666666666667,52.07,53.47,54.77,55.87,56.87,3.06533333333333,3.33633333333333,3.617,3.92766666666667,4.22866666666667,4.49966666666667,4.76066666666667,3.24766666666667,3.54866666666667,3.84033333333333,4.17166666666667,4.493,4.78433333333333,5.06533333333333
32,48.6333333333333,50.0333333333333,51.2333333333333,52.54,53.84,54.8466666666667,55.8466666666667,49.34,50.8333333333333,52.14,53.54,54.84,55.94,56.94,3.08066666666667,3.35266666666667,3.634,3.94533333333333,4.24733333333333,4.51933333333333,4.78133333333333,3.26533333333333,3.56733333333333,3.86066666666667,4.19333333333333,4.516,4.80866666666667,5.09066666666667
33,48.7,50.1,51.3,52.61,53.91,54.92,55.92,49.41,50.9,52.21,53.61,54.91,56.01,57.01,3.096,3.369,3.651,3.963,4.266,4.539,4.802,3.283,3.586,3.881,4.215,4.539,4.833,5.116
34,48.7666666666667,50.1666666666667,51.3666666666667,52.68,53.98,54.9933333333333,55.9933333333333,49.48,50.9666666666667,52.28,53.68,54.98,56.08,57.08,3.11133333333333,3.38533333333333,3.668,3.98066666666667,4.28466666666667,4.55866666666667,4.82266666666667,3.30066666666667,3.60466666666667,3.90133333333333,4.23666666666667,4.562,4.85733333333333,5.14133333333333
